Organisasjonsnummer,Navn,Antall Ansatte,Næringskoder,Kommune,Adresse,Overordnet Enhet,Driftsresultat Overordnet Enhet,Vedtektsfestet Formål,Aktivitet,Overordnet Enhet Navn
998633559,FITNESSLINE AS,,93.130,BERGEN,Hesthaugvegen 18,998438993,-22251.00,"Å gi administrativ og driftsmessig støtte til treningssentre, samt, drive med kjøp og salg av treningsutstyr.",Treningssenter.,FITNESSLINE AS
918905731,FLIPZONE AS,44,93.130,BERGEN,Liamyrane 16,918835792,-1542567.00,"Drift av idrettsanlegg for turn, klatring og annen fysisk trening samt, handelsvirksomhet og det som herved står i forbindelse.",Drift av fornøyelses- og temaparker.,FLIPZONE AS
920414214,FUNKSJONELL TRENING BERGEN AS,6,93.130,BERGEN,Storbotn 108,920368883,-296937.00,"Drive funksjonelt treningssenter i Bergen og annet som naturlig faller, sammen med dette.","Funksjonell trening. Det vil bli solgt trenings-abbonement for gruppe, og privattimer, og diverse treningsrelaterte tilbehør.",FUNKSJONELL TRENING BERGEN AS
928814734,HAMMERSLAND INVEST AS,,93.130,BERGEN,Aurdalslia 15,927062917,-343715.00,Eie aksjer.,Investeringsselskap lukket for allmenheten.,HAMMERSLAND INVEST AS
928589269,HELL BOOTCAMP AS,,93.130,BERGEN,Drotningsvikveien 78,828558862,-2283261.00,"Tilby gruppetimebasert trening, inviduell timebasert trening,, tjenester innen helse- og massasjevirksomhet, kostholdsveiledning,, samt lignende virksomhet og alt som er forbundet med dette.","Tilby gruppetimebasert trening, inviduell timebasert trening,, tjenester innen helse- og massasjevirksomhet, kostholdsveiledning,, samt lignende virksomhet og alt som er forbundet med dette.",HELL BOOTCAMP AS
992444622,HELSEPRODUSENTEN AS,19,93.130,BERGEN,Arnatveitvegen 137,992436581,114868.00,"Helsestudio, utleie av utstyr for helsestudio, og handel med relaterte, produkter.","Helsestudio, utleie av utstyr for helsestudio, og handel med relaterte, produkter.",HELSEPRODUSENTEN AS
992130199,IN SHAPE AS,27,93.130,BERGEN,Hallheimslien 10,992123737,-263737.00,"Treningsstudio, solarium, og eller, gjøre seg interessert i øvrige selskap, herunder hva som er naturlig i, den forbindelse.","Treningsstudio, solarium, og eller, gjøre seg interessert i øvrige selskap, herunder hva som er naturlig i, den forbindelse. Selskapet skal drive med: Kode 9300000 Sport - og, fritidsaktiviteter og drift av fornøyelsesetbalis 9310000, Sportsaktiviteter 9313000 Treningssentre",IN SHAPE AS
996320693,ITRAIN AS,,93.130,BERGEN,,996313328,-1678574.00,"Etablere og drive trening sentere og andre tjenester innenfor helse og, trening.","Etablere og drive treningssentere og andre tjenester innenfor helse og, trening.",ITRAIN AS
933644707,JBG TRENING AS,,93.130,BERGEN,Helldalssåta 41B,933464008,Feil ved henting,Trening.,Skal drifte treningssenter.,JBG TRENING AS
929846338,KALIBER GYM BERGEN AS,,93.130,BERGEN,Damsgårdsveien 227,929585755,1302257.00,"Treningssenter, kjøp og salg av PT-tjenester, kjøp og salg av varer, til medlemmer.","Treningssenter, medlemskap med månedlig betaling. Tilbyr diverse, PT-tjenester.",KALIBER GYM BERGEN AS
919667540,MAX FITNESS ÅSANE AS,,93.130,BERGEN,Salhusvegen 55,919554584,294513.00,"Treningssenter og andre tjenester og produkter som naturlig faller, sammen med dette, herunder å delta i andre selskaper med lignende, virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg, interessert i andre foretagender samt kjøp, salg og utleie av fast, eiendom. I tillegg utføre reparasjon av elektroniske hjelpemidler.","Treningssenter og andre tjenester og produkter som naturlig faller, sammen med dette, herunder å delta i andre selskaper med lignende, virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg, interessert i andre foretagender samt kjøp, salg og utleie av fast, eiendom. I tillegg utføre reparasjon av elektroniske hjelpemidler.",MAX FITNESS ÅSANE AS
924375671,MBG AS,,93.130,BERGEN,Folke Bernadottes vei 52,967355119,-271400.00,"Produksjon, handel og tjenesteyting innen, helsestudiovirksomhet og fysisk trening, samt, deltakelse i andre selskap med liknende eller, tilsvarende formål.","Produksjon, handel og tjenesteyting innen, helsestudiovirksomhet og fysisk trening, samt, deltakelse i andre selskap med liknende eller, tilsvarende formål.",MBG AS
931251090,MOVA BERGEN KRONSTAD,,93.130,BERGEN,Edvard Griegs vei 3A,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
994643118,MOVA BERGEN LANDÅS,15,93.130,BERGEN,Mannsverk 2,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
917392056,MOVA BERGEN NORDNES,,93.130,BERGEN,Strandgaten 64,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
931250639,MOVA BERGEN NØSTET,,93.130,BERGEN,Nøstegaten 44,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
996169065,MOVA BERGEN SANDVIKEN,7,93.130,BERGEN,Nye Sandviksveien 9,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
912974561,MOVA BJØRNDALSTRÆ BJØRGE,,93.130,BERGEN,Bjørndalsstølen 2,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
931251120,MOVA EIDSVÅG ÅSANE,8,93.130,BERGEN,Vollane 1,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
992251611,MOVA FYLLINGSDALEN LØVÅSVEIEN,60,93.130,BERGEN,Løvåsveien 20,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
931252216,MOVA FYLLINGSDALEN ORTUN,,93.130,BERGEN,Ortuflaten 46,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
924349387,MOVA LAKSEVÅG,22,93.130,BERGEN,Sjøkrigsskoleveien 15,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
813841932,MOVA MATHOPEN,23,93.130,BERGEN,Skareveien 1A,994588117,-3457914.00,"Drifte, leie ut lokaler, investere i og eie aksjer i selskaper innen, trening og helse, samt virksomhet som naturlig hører med til dette.",Treningssentre. Utleie av egen eller leid fast eiendom.,MOVA AS
